Iteration Number,Throughput
29674.610464459867, 5263.887173552944
29956.53532316001, 5267.560503894203
30329.08854701658, 5278.13697429159
30261.928280646403, 5271.431105679714
31129.290868276184, 5274.667397742245
31270.943714924877, 5279.434884345502
31679.635941369874, 5268.875646855888
32063.884061059965, 5265.023184973296
32415.201627144786, 5259.145616340332
32824.310897554584, 5261.728849032326
33360.95007380449, 5260.093342428004
33334.294214440764, 5266.880257534711
33281.22973315847, 5262.5655520545015
34455.48892362897, 5295.940382012224
35350.48994016876, 5297.19203531369
35528.44888924107, 5293.383786499676
36473.28291873466, 5291.057449962632
37433.6943390853, 5291.586805311473
37463.289576963514, 5289.386694228772
38533.6501530084, 5287.933263955218
39630.576468434054, 5288.965055813006
39523.62359650977, 5286.121511703209
40618.383678062935, 5293.553689070919
40126.86098600456, 5290.226312592488
40125.784129576816, 5285.6550570567
41635.64515482637, 5293.951286126753
42094.93917701937, 5293.034369564472
42680.56007442267, 5298.109396118491
43003.23029802506, 5294.106856440177
43595.44972569798, 5299.513942887424
43722.222376721125, 5295.346712462122
44244.005204733076, 5293.5935320719755
45127.77413979963, 5294.522605389282
45599.706355199865, 5290.191458064735
45889.64854430641, 5294.756753346707
46061.86778035798, 5284.660660560278
46495.27781872884, 5280.608017781472
46723.588138615945, 5275.422208248908
47646.480194481526, 5275.7615540042425
48369.329472734666, 5281.972656763981
48804.495971555894, 5287.279055733888
49057.14017886665, 5285.268072461077
49729.28333618153, 5288.337948698538
49962.675301260635, 5284.838761425309
50847.130175654165, 5281.091964477225
51761.73601794151, 5281.8399490531465
51881.883440034755, 5279.043062442433
52410.87061735739, 5287.535452350439
52910.918981375595, 5292.492349265229
53787.13859623793, 5293.556798768563
53927.010708454894, 5290.765067709206
54928.87492449992, 5288.296886554655
55937.185561407605, 5288.5742857194355
56991.1668648239, 5293.343077730526
57975.03928733039, 5294.039579327699
57857.45590550163, 5292.022162981548
59052.42914859603, 5294.018376843767
59960.57721767017, 5294.483608270049
60304.74914830894, 5290.8895527929935
61165.98739644722, 5289.433339693423
61682.91785661846, 5291.722854583371
62383.80488000355, 5288.978546413076
63360.72543507516, 5288.571458721578
64303.43194889305, 5288.512091766567
65194.03479442255, 5287.427584713434
65746.37592572236, 5289.6235096646915
66334.86391110174, 5286.838685722216
67187.30153634885, 5283.532688415084
68120.55298268243, 5283.687537222735
68136.9350689897, 5280.920542394632
68617.77283017799, 5289.391877058178
69307.30493973977, 5297.785210139167
69263.96671295358, 5292.779091657929
70202.34142416985, 5299.187424634867
70177.78231384903, 5294.358809226404
70909.84037043982, 5291.369126476436
71282.12929441521, 5287.251368513642
72241.0335725918, 5287.778653210544
72213.45199454458, 5285.8183161829775
73314.56790982648, 5291.823919756782
74322.89835902776, 5292.1854221078265
73854.04276221807, 5290.389571718766
75404.52786413947, 5294.8653834576535
76338.28131454719, 5296.952588595149
76303.96805366017, 5293.328235991773
77436.85764342031, 5292.1776478637175
78385.92421674253, 5292.142459179859
79498.2190719053, 5293.273816283014
80193.54355800603, 5290.589110650884
80528.2125224007, 5293.818013370608
81558.92303192503, 5291.579031067365
82454.99042935047, 5292.622956566252
82594.75177919201, 5289.361039223214
83524.77755104432, 5284.947600842827
84533.08041287545, 5285.191994807619
85564.74453278612, 5289.914636078684
85698.10137225797, 5292.607174850711
86554.70620753538, 5291.603811470461
87156.88181140347, 5287.650446377877
87697.3205845997, 5283.995255939538
88622.15180616005, 5283.728599366617
89076.48522485839, 5283.532688415084
89728.392129555, 5286.867839137623
90657.61408572455, 5286.866611625395
91789.1057959337, 5285.214257415749
92715.07412660288, 5285.355748658523
93414.57057671317, 5285.230583328376
93891.25057613003, 5287.489321357825
94796.92348118116, 5287.254996494225
95892.66775090485, 5290.342926254116
96878.66533325551, 5290.591702065587
97932.29026512208, 5293.847696848113
98909.5854223833, 5295.030795451531
99056.25216900944, 5292.675199486661
99899.93285761146, 5294.806638079736
100133.0316784408, 5290.0630534662105
33522.98483099023, 5273.070607553366
33659.56510218728, 5276.853858784893
34067.857674729894, 5282.055829228243
34204.437945926955, 5285.83908045977
34476.707263060416, 5289.6223316912965
34477.37568200591, 5292.459770114942
